차품목,효능번호,카페인,향기준,contentId,"맛,향"
요기티 Yogi Tea 스토맥 이즈 티 16티백,4,X,"2,3",100066,"감초, 카다몬씨앗, 회향씨, 페퍼민트잎, 생강뿌리, 후추"
요기티 Yogi Tea 진저 티 16티백,"2,4",,2,100067,허브 약초 생강
요기티 Yogi Tea 콜드 시즌 티 16티백,4,X,"2,3,4",100068,"생강뿌리, 감초, 유칼립투스잎, 오렌지껍질, 박하잎, 레몬그라스, 바질잎, 카아몬씨앗, 오레가노잎, 파슬리잎, 야로꽃,"
요기티 Yogi Tea 트롯 컴포트 티 허니 레몬 16티백,4,X,1,100069,"누릅나무껍질, 꿀 레몬"
요기티 Yogi Tea 피치 디톡스 티 16티백,4,X,1,100070,복숭아 향
aa71,4,X,5,100071,464aa71
aa72,1,O,3,100072,22aa72
aa73,4,X,3,100073,385aa73
aa74,3,X,3,100074,54aa74
aa75,2,O,4,100075,193aa75
aa76,2,O,1,100076,323aa76
aa77,4,O,2,100077,89aa77
aa78,4,X,3,100078,192aa78
aa79,3,O,4,100079,338aa79
aa80,1,O,3,100080,326aa80
aa81,4,O,2,100081,448aa81
aa82,3,O,4,100082,467aa82
aa83,3,X,5,100083,81aa83
aa84,2,X,5,100084,11aa84
aa85,1,X,2,100085,285aa85
aa86,1,O,2,100086,378aa86
aa87,2,X,1,100087,279aa87
aa88,1,X,4,100088,13aa88
aa89,1,O,5,100089,335aa89
aa90,4,O,4,100090,56aa90
aa91,2,X,5,100091,296aa91
aa92,1,X,2,100092,206aa92
aa93,1,X,3,100093,302aa93
aa94,1,O,4,100094,140aa94
aa95,2,X,5,100095,198aa95
aa96,3,O,1,100096,205aa96
aa97,3,O,3,100097,182aa97
aa98,3,O,2,100098,388aa98
aa99,3,X,1,100099,229aa99
aa100,1,X,3,100100,478aa100
aa101,3,X,2,100101,223aa101
aa102,2,O,1,100102,350aa102
aa103,2,X,2,100103,102aa103
aa104,1,O,2,100104,33aa104
aa105,3,O,1,100105,177aa105
aa106,4,X,3,100106,181aa106
aa107,4,X,2,100107,374aa107
aa108,3,X,3,100108,386aa108
aa109,2,X,3,100109,221aa109
aa110,4,X,2,100110,433aa110
aa111,3,O,3,100111,392aa111
aa112,4,X,5,100112,245aa112
aa113,4,O,3,100113,205aa113
aa114,3,X,2,100114,378aa114
aa115,1,O,3,100115,117aa115
aa116,2,O,2,100116,135aa116
aa117,1,X,4,100117,101aa117
aa118,4,O,4,100118,225aa118
aa119,1,X,1,100119,305aa119
aa120,4,O,5,100120,396aa120
aa121,4,X,4,100121,301aa121
aa122,4,X,1,100122,279aa122
aa123,4,X,4,100123,331aa123
aa124,3,X,3,100124,283aa124
aa125,2,X,2,100125,163aa125
aa126,2,O,1,100126,387aa126
aa127,2,X,3,100127,168aa127
aa128,4,O,2,100128,88aa128
aa129,1,X,5,100129,420aa129
aa130,2,O,2,100130,242aa130
aa131,1,X,5,100131,281aa131
aa132,3,X,4,100132,21aa132
aa133,1,X,5,100133,379aa133
aa134,1,X,2,100134,381aa134
aa135,4,X,3,100135,459aa135
aa136,2,O,2,100136,276aa136
aa137,2,O,4,100137,15aa137
aa138,3,X,5,100138,441aa138
aa139,3,O,5,100139,346aa139
aa140,4,O,4,100140,6aa140
aa141,3,X,5,100141,377aa141
aa142,2,O,3,100142,16aa142
aa143,1,X,5,100143,187aa143
aa144,3,X,1,100144,141aa144
aa145,2,X,4,100145,431aa145
aa146,2,X,1,100146,186aa146
aa147,4,X,1,100147,55aa147
aa148,3,O,1,100148,268aa148
aa149,1,O,4,100149,238aa149
